sample	GenotypeRate	Heterozygosity	conScore
350	coarEASm.234.21	0.970649895178197	0.352201257861635	0.0595238095238095
351	coarEASm.235.21	0.970649895178197	0.293501048218029	0.0642857142857143
352	coarEASm.236.21	0.985324947589098	0.40041928721174	0.0418848167539267
353	coarEASm.237.21	0.985324947589098	0.394129979035639	0.0372340425531915
354	coarEASm.238.21	0.947589098532495	0.257861635220126	0.016260162601626
355	coarEASm.239.21	0.968553459119497	0.392033542976939	0.0481283422459893
356	coarEASm.240.21	0.974842767295597	0.366876310272537	0.0571428571428571
357	coarEASm.241.21	0.953878406708595	0.348008385744235	0.0602409638554217
358	coarEASm.242.21	0.962264150943396	0.350104821802935	0.0479041916167665
359	coarEASm.243.21	0.953878406708595	0.339622641509434	0.037037037037037
360	coarEASm.244.21	0.968553459119497	0.352201257861635	0.0416666666666667
361	coarEASm.245.21	0.964360587002096	0.348008385744235	0.0662650602409639
362	coarEASm.246.21	0.945492662473795	0.322851153039832	0.0584415584415584
363	coarEASm.247.21	0.966457023060797	0.318658280922432	0.0394736842105263
364	coarEASm.248.21	0.983228511530398	0.486373165618449	0.0646551724137931
365	coarEASm.249.21	0.970649895178197	0.362683438155136	0.046242774566474
366	coarEASm.250.21	0.968553459119497	0.341719077568134	0.049079754601227
367	coarEASm.251.21	0.951781970649895	0.341719077568134	0.0368098159509202
368	coarEASm.252.21	0.972746331236897	0.343815513626834	0.0548780487804878
369	coarEASm.253.21	0.960167714884696	0.345911949685535	0.0484848484848485
370	coarEASm.254.21	0.943396226415094	0.379454926624738	0.0497237569060773
371	coarEASm.255.21	0.979035639412998	0.40041928721174	0.0523560209424084
372	coarEASm.256.21	0.953878406708595	0.339622641509434	0
373	coarEASm.257.21	0.951781970649895	0.30188679245283	0.0347222222222222
374	coarEASm.258.21	0.947589098532495	0.373165618448637	0.0280898876404494
375	coarEASm.259.21	0.949685534591195	0.39832285115304	0.0473684210526316
376	coarEASm.276.21	0.983228511530398	0.354297693920335	0.0532544378698225
377	coarEASm.277.21	0.976939203354298	0.287211740041929	0.0802919708029197
378	coarEASm.278.21	0.966457023060797	0.29769392033543	0.028169014084507
379	coarEASm.279.21	0.951781970649895	0.310272536687631	0.0337837837837838
380	coarEASm.280.21	0.878406708595388	0.00628930817610063	0
381	coarEASm.282.21	0.947589098532495	0.335429769392034	0.01875
382	coarEASm.283.21	0.974842767295597	0.358490566037736	0.0350877192982456
383	coarEASm.284.21	0.962264150943396	0.373165618448637	0.0561797752808989
384	coarEASm.285.21	0.953878406708595	0.368972746331237	0.0284090909090909
385	coarEASm.286.21	0.928721174004193	0.368972746331237	0.0454545454545455
386	coarEASm.320.21	0.955974842767296	0.371069182389937	0.0395480225988701
387	coarEASm.321.21	0.960167714884696	0.387840670859539	0.0162162162162162
388	coarEASm.4237.22	0.960167714884696	0.285115303983228	0.0294117647058824
389	coarEASm.4241.22	0.958071278825996	0.30398322851153	0.0482758620689655
390	coarEASm.4265.22	0.979035639412998	0.385744234800839	0.0434782608695652
391	coarEASm.4298.22	0.987421383647799	0.358490566037736	0.0994152046783626
392	coarEASm.4299.22	0.964360587002096	0.350104821802935	0.029940119760479
393	coarEASm.4300.22	0.968553459119497	0.333333333333333	0.050314465408805
394	coarEASm.4354.22	0.966457023060797	0.362683438155136	0.0809248554913295
395	coarEASm.4355.22	0.953878406708595	0.287211740041929	0.0218978102189781
396	coarEASm.4356.22	0.932914046121593	0.329140461215933	0.0636942675159236
397	coarEASm.4357.22	0.970649895178197	0.310272536687631	0.0337837837837838
398	coarEASm.4380.22	0.947589098532495	0.356394129979036	0.0411764705882353
399	coarEASm.4381.22	0.937106918238994	0.331236897274633	0.0253164556962025
400	coarEASm.4382.22	0.926624737945493	0.360587002096436	0.0290697674418605
401	coarEASm.4415.22	0	0	NA
402	coarEASm.4432.22	0.966457023060797	0.385744234800839	0.0271739130434783
403	coarEASm.4433.22	0.981132075471698	0.331236897274633	0.0443037974683544
404	coarEASm.5136.22	0.962264150943396	0.383647798742138	0.0382513661202186
405	coarEASm.5137.22	0.966457023060797	0.329140461215933	0.0573248407643312
406	coarEASm.5138.22	0.960167714884696	0.354297693920335	0.0473372781065089
407	coarEASm.5139.22	0.953878406708595	0.341719077568134	0.0552147239263804
